"股票代號","股票名稱","收盤價","漲跌","最高價","最低價","成交量"
"1409","新纖",19.90,-0.40,20.10,19.50,9423
"1410","南染",33.00,-0.20,33.00,32.50,247
"1413","宏洲",27.30,-0.90,27.90,27.00,5206
"1414","東和",26.40,-0.80,26.70,26.00,2233
"1416","廣豐",51.50,0.50,52.50,50.00,11551
"1417","嘉裕",18.00,-0.10,18.20,17.80,591
"1418","東華",23.80,-0.70,24.30,23.30,1675
"1419","新紡",61.50,-1.50,63.00,61.00,1227
"1420","潤泰",28.80,0.90,28.80,27.20,12243
"1422","民紡",45.00,1.00,45.20,41.00,343
"1423","利華",18.30,-0.10,18.40,18.20,183
"1425","福昌",11.50,-0.25,11.85,11.30,90
"1431","新燕",60.00,-2.00,62.50,58.00,718
"1432","大魯閣",32.40,1.00,33.30,30.80,721
"1433","台化",38.80,-0.10,39.00,38.30,4551
"1434","福懋",31.00,-0.30,31.20,30.50,1911
"1435","中福",20.60,-0.10,20.70,20.30,193
"1436","福益",34.30,0.80,34.90,33.60,673
"1437","勤益",41.50,0.70,43.00,40.50,2363
"1438","裕豐",44.30,-0.30,44.80,44.20,255
"1439","中和羊",43.80,-0.70,45.10,43.60,411
"1440","南紡",20.80,-0.10,21.00,20.60,1549
"1441","大東紡",21.10,0.00,21.40,21.00,304
"1442","達永興",58.00,0.50,58.50,57.00,608
"1443","立益紡",21.30,-0.30,22.00,21.30,1005
"1444","力麗",26.50,-0.30,26.50,26.00,2840
"1445","大宇",23.40,-0.30,23.70,23.20,951
"1446","宏和",17.60,0.30,17.60,17.40,2398
"1447","力鵬",32.90,-0.90,33.30,32.90,3670
"1448","皇帝龍",19.10,0.00,19.50,19.00,2142
"1449","佳和",18.80,-0.30,19.10,18.80,891
"1450","新藝",27.80,1.00,27.80,26.80,14359
"1451","年興",63.50,-1.50,64.50,62.50,1678
"1452","宏益",40.50,-0.20,41.20,40.40,2173
"1453","大將",16.20,-0.10,16.50,16.10,87
"1454","台富",37.20,1.50,38.10,35.80,1627
"1455","集盛",29.90,-0.40,30.50,29.80,3311
"1456","怡華",12.95,-0.05,13.10,12.80,485
"1457","宜進",27.10,-0.50,27.40,27.00,1068
"1458","嘉畜",16.70,-0.20,16.70,16.40,267
"1459","聯發",34.50,0.20,34.60,33.60,2310
"1460","宏遠",23.80,0.00,23.80,23.10,1665
"1461","金緯",40.80,0.00,41.20,39.90,3719
"1462","東雲",19.10,-0.40,19.40,19.10,1513
"1463","強盛",25.60,-0.30,26.00,25.60,204
"1464","得力",28.00,-0.60,28.70,28.00,704
"1502","大同",45.70,-0.80,46.40,45.70,4005
"1503","士電",63.50,0.50,64.50,62.00,8734
"1504","東元",52.50,-0.50,53.00,52.00,1239
"1505","楊鐵",67.50,2.50,69.50,65.00,316
"1506","正道",69.00,-1.00,69.50,67.50,518
"1507","永大",56.00,-1.00,57.00,55.50,2915
"1508","中精機",63.00,-0.50,63.00,62.50,851
"1509","元富",34.40,-0.60,34.70,34.20,993
"1510","台安",55.00,-1.00,56.50,54.50,183
"1511","飛瑞",93.00,5.00,93.00,87.00,3417
"1512","瑞利",21.30,-0.50,21.80,21.00,1228
"1513","中興電",17.50,-0.40,17.90,17.50,2006
"1514","亞力",31.10,-0.70,31.60,31.00,463
"1515","力山",32.70,0.20,32.80,32.10,1124
"1516","川飛",41.80,0.40,42.40,41.10,1723
"1517","利奇",79.00,1.50,80.00,77.00,1623
"1518","夆典",22.20,0.10,23.00,22.10,1227
"1519","華城",41.20,0.10,41.30,41.00,132
"1601","台光",50.00,0.00,50.50,49.30,2467
"1602","太電",39.50,1.30,39.50,37.50,38848
"1603","華電",37.80,2.10,38.10,35.30,2895
"1604","聲寶",22.90,0.10,23.20,22.50,1826
"1605","華新",29.00,-0.50,29.50,28.60,6824
"1606","歌林",19.90,-0.20,20.00,19.60,609
"1608","榮電",22.50,-0.40,22.80,22.40,1709
"1609","大亞",18.60,-0.10,18.70,18.50,941
"1610","泰瑞",37.00,-0.30,37.80,37.00,763
"1611","中電",24.80,0.00,24.80,24.60,167
"1612","宏泰",33.00,-0.70,33.60,33.00,232
"1613","台一",21.30,-0.20,21.50,21.10,833
"1701","中化",60.00,2.00,60.00,57.00,8048
"1702","南僑",23.60,-0.10,23.90,23.50,266
"1704","榮化",31.20,-0.30,31.50,30.80,3299
"1705","正豐",6.35,0.00,6.40,6.35,723
"1707","葡萄王",27.50,0.50,27.50,27.10,585
"1708","東鹼",23.10,-0.30,23.40,23.00,695
"1709","和益",23.40,0.30,23.50,23.10,150
"1710","東聯",52.50,-1.00,53.00,52.00,1953
"1711","永光",51.00,0.00,51.00,50.50,539
"1712","興農",18.60,-0.10,18.80,18.50,606
"1713","國化",45.00,-0.50,45.80,44.50,877
"1714","和桐化",25.70,0.50,25.90,25.00,4246
"1715","亞化",26.90,-0.10,27.00,26.50,135
"1716","永信",69.50,0.50,70.50,69.00,57
"1717","長興",67.00,-2.00,68.50,66.00,723
"1718","中纖",37.00,-0.60,37.00,36.50,2590
"1719","台硝",32.30,-0.20,32.50,32.00,258
"1720","生達",57.00,0.00,57.00,55.50,83
"1721","三晃",53.00,-1.00,54.00,53.00,75
"1802","台玻",45.60,-1.60,46.60,45.50,1909
"1805","凱聚",19.90,-0.10,20.00,19.60,1040
"1806","信益",43.30,-0.80,43.80,43.10,1012
"1807","羅馬",22.00,-0.20,22.30,21.70,1104
"1808","國賓瓷",29.00,0.00,29.50,28.80,907
"1809","中國釉",38.90,-0.40,39.60,38.10,863
"1810","和成",39.30,-0.30,39.70,39.00,575
"1902","台紙",24.70,-0.80,25.30,24.50,11109
"1903","士紙",148.50,0.00,149.00,146.00,824
"1904","正隆",19.50,0.10,19.50,19.10,2507
"1905","華紙",25.60,-0.20,25.70,25.30,1242
"1906","寶隆",13.50,0.50,13.50,12.50,740
"1907","永豐餘",20.50,-0.80,21.20,20.50,999
"1908","萬有",12.40,-0.10,12.50,12.40,1851
"1909","榮成",18.10,-0.10,18.10,17.90,1199
"2002","中鋼",31.30,0.60,31.30,30.50,29128
"2004","大鋼",15.60,0.00,15.60,15.30,718
"2005","友力",29.30,0.00,29.50,28.30,7915
"2006","東鋼",27.10,0.00,27.10,26.60,1139
"2007","燁興",14.85,-0.10,15.00,14.80,1496
"2008","高興昌",27.20,-0.60,27.70,27.20,318
"2009","一銅",16.20,-0.20,16.40,16.10,391
"2010","春源",18.50,-0.30,18.90,18.40,480
"2011","彥武",17.80,0.20,17.80,17.40,751
"2012","春雨",20.10,-0.30,20.40,20.00,453
"2013","中鋼構",22.70,-0.20,22.80,22.30,238
"2014","燁隆",14.80,-0.10,15.00,14.80,1830
"2015","豐興",28.90,-0.30,29.50,28.80,678
"2016","名佳利",44.20,0.30,44.20,43.90,1109
"2017","嘉益",18.30,-0.20,18.50,18.30,750
"2018","峰安",18.00,-0.10,18.20,18.00,722
